step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,F1
2332,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,2.9706279999999996,False,0.0,0.0
2438,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,3.2205249999999994,False,0.0,0.0
2544,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,3.4800299999999993,False,0.0,0.0
2650,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,3.749230999999999,False,0.0,0.0
2756,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,4.027938999999999,False,0.0,0.0
2862,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,4.316300999999999,False,0.0,0.0
2968,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,4.614237999999999,False,0.0,0.0
3074,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,4.921722999999999,False,0.0,0.0
3180,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,5.238878999999999,False,0.0,0.0
3286,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,5.565836999999999,False,0.0,0.0
3392,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,5.902911,False,0.0,0.0
3498,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,6.24968,False,0.0,0.0
3604,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,6.606227,False,0.0,0.0
3710,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,6.972569,False,0.0,0.0
3816,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,7.348574,False,0.0,0.0
3922,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,7.734144000000001,False,0.0,0.0
4028,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,8.129392000000001,False,0.0,0.0
4134,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,8.534253000000001,False,0.0,0.0
4240,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,8.948738000000002,False,0.0,0.0
4346,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,9.372905000000003,False,0.0,0.0
4452,Binary classification,CapyMoa Hoeffding Adaptive Tree,Bananas,0.01809978485107422,9.806839000000004,False,0.0,0.0
